Column header,Description
mp_id,Materials Project identifier
icsd_ids,Inorganic Crystal Structure Database identifiers (from MP)
composition,Chemical composition (from MP)
ss_synth_score,Solid-steate synthesizability score predicted by model 1
ss_synthesized,Whether the composition has been solid-state synthesized in the literature. Possible values are 'y', 'n' and '?' corresponding to 'yes', 'no' 'undetermined' respectively
reference,The reference paper of each entry
comment,Additional comments and/or remarks
